car_stage,continent,hair_color,pets,res_top
Undergrad student,Asia,Black,Cats,Nanomedicine and Nanoscale Delivery
Master student,Africa,Brown,Dogs,Immuno Delivery
PhD student,North America,Blond,Guinea pigs,Oral Delivery
Postdoctoral researcher,South America,Red,Fish,Skin and Mucosal Delivery
Professor,Antarctica,White/Gray,Rabbits,Ocular Delivery
,Europe,,Rats,Bioengineering
,Australia,,Mice,Gene Delivery and Gene Editing
,,,Hamsters,Alternative Methods to Animal Testing
,,,Birds,Long-Acting Drug Delivery Formulations
,,,Snakes,Delivery to the Nervous System
,,,,Global Health and Special Populations
,,,,Women’s Health for Everyone’s Health
